Effects,Total.hits.M,THM.sd,Total.hits.F,THF.sd,New.locations.M,NLM.sd,New.locations.F,NLF.sd,Distance.M,DM.sd,Distance.F,DF.sd,Active.time.M,ATM.sd,Active.time.F,ATF.sd
(Intercept),0.697,0.063,-0.111,0.262,0.327,0.096,-0.458,0.21,0.354,0.188,1.13,0.61,0.372,0.187,0.293,0.168
Rhododendron,-0.126,0.0397,-0.218,0.052,-0.166,0.034,-0.232,0.043,0.375,0.123,0.5,0.154,0.326,0.12,0.535,0.149
Logs,-0.016,0.006,-0.007,0.009,-0.03,0.006,-0.023,0.007,0.037,0.019,0.028,0.027,,,,
Moon,-0.099,0.036,-0.117,0.046,-0.119,0.029,-0.126,0.035,,,,,0.189,0.111,0.17,0.133
Rhododendron:Logs,0.138,0.023,0.127,0.028,0.181,0.019,0.206,0.023,-0.423,0.083,-0.494,0.107,-0.371,0.081,-0.45,0.1
Rhododendron:Moon,0.104,0.058,0.217,0.076,0.107,0.049,0.205,0.06,-0.321,0.177,-0.371,0.22,-0.335,0.177,-0.456,0.22
Logger.effort,,,0.042,0.021,,,0.057,0.016,,,,,,,,
Trap.effort,,,0.635,0.218,,,0.278,0.158,,,,,,,,
AIC,919244.06,,11779.63,,14072.78,,8131.32,,38291.83,,21349.25,,46006.11,,26643.47,
Num.of.obs.,5724,,3604,,5724,,3604,,5724,,3604,,5724,,3604,
Num.of.ID,234,,166,,234,,166,,234,,166,,234,,166,
Total.num.of.seasons,9,,9,,9,,9,,9,,9,,9,,9,
Var: ID,0.074,,0.064,,0.112,,0.117,,0.769,,0.499,,0.036,,0.063,
Var: season,0.025,,0.053,,0.07,,0.049,,0.198,,0.131,,0.029,,0.032,
